id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"74713","4",119.963446,5.089989,0.037884,-0.025823,0.032512,0.149263,-0.055804,0.009129,4580.508891,0.035957,610.696320700383
"74714","4",119.963626,5.089989,0.037334,-0.024099,0.034561,0.139560,-0.060288,0.006748,5087.508891,0.035407,616.91051528587
"74715","4",119.963806,5.089988,0.035191,-0.024735,0.032572,0.130705,-0.052755,0.008452,5681.508891,0.033264,623.703193163821
"74716","4",119.963987,5.089987,0.026706,-0.022637,0.038187,0.107442,-0.033575,0.009348,5836.508891,0.024779,631.055673933209
"74717","4",119.964167,5.089986,0.020042,-0.020931,0.038980,0.096082,-0.021872,0.008683,5833.508891,0.018115,638.948632366845
"74718","4",119.964347,5.089985,0.022454,-0.023323,0.038768,0.098920,-0.020513,0.011886,6056.508891,0.020527,647.36229915975
"74719","4",119.964527,5.089984,0.016015,-0.020694,0.033615,0.096962,0.000243,0.016142,6313.508891,0.014088,656.276647400531
"74720","4",119.964707,5.089984,0.001071,-0.016303,0.040934,0.082981,0.042191,0.023567,6172.508891,-0.000856,665.671562455907
"74721","4",119.964888,5.089983,0.015081,-0.018034,0.033702,0.097102,0.002514,0.016391,6099.508891,0.013154,675.526993837706
"74722","4",119.965068,5.089982,0.005408,-0.012620,0.035246,0.079286,0.024153,0.018233,5847.508891,0.003481,685.823088378613
"74723","4",119.965248,5.089981,0.003616,-0.011268,0.036020,0.074024,0.025746,0.017308,5718.508891,0.001689,696.540304736857
"74724","4",119.965428,5.089980,0.014865,-0.015685,0.030580,0.087502,0.001863,0.015822,5768.508891,0.012938,707.659509738615
"74725","4",119.965608,5.089979,0.019624,-0.021006,0.031421,0.087393,-0.000526,0.019348,5758.508891,0.017697,719.162057514246
"74726","4",119.965789,5.089979,0.027013,-0.024788,0.028254,0.110866,-0.016993,0.018428,6265.508891,0.025086,731.029852644574
"74727","4",119.965969,5.089978,0.039121,-0.029405,0.029235,0.118957,-0.044653,0.016585,6591.508891,0.037194,743.245398783681
"74728","4",119.966149,5.089977,0.022549,-0.023764,0.030717,0.106317,-0.004177,0.020369,6840.508891,0.020622,755.79183419498
"74729","4",119.966329,5.089976,0.023323,-0.027182,0.031537,0.098167,0.007139,0.027057,6670.508891,0.021396,768.652955851945
"74730","4",119.966509,5.089975,0.026291,-0.029211,0.032088,0.094908,0.006294,0.029602,6363.508891,0.024364,781.8132335376
"76021","4",119.960922,5.089820,0.242718,-0.241602,0.108005,0.121896,0.057282,0.286193,1680.508891,0.240791,611.311386452271
"76022","4",119.961103,5.089820,0.226848,-0.220892,0.066233,0.132190,0.039002,0.255574,1871.008891,0.224921,608.400470635415
